"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"594","1","0","0","1","2012","1","1",1,"1",1,"75003",48.86753896092,2.35801543510346,"6","2","2","5",861,115,500,50,"2",20,3,30,48,96,10,10,10,10,9,10,"0","0",0.72,0.2496,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","275.93328","2841009.05088",861.12
"595","1","1","1","1","2012","1","0",1,"1",0,"75018",48.8914167126913,2.34178038977106,"2","1","1","1",269,45,500,10,"1",20,5,21,5,100,10,9,10,10,10,10,"0","0",0.12,0.0416,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","86.20912","639671.6704",56.16
"596","1","0","0","0","2013","1","0",1,"1",0,"75018",48.8902969347568,2.34388269973831,"5","1","2","4",861,160,250,50,"4",10,3,1125,23,88,9,9,9,9,10,9,"0","0",1.2,0.416,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","275.93328","2047424.9376",1996.8
"597","1","1","1","1","2013","1","0",1,"1",0,"75012",48.8389042094845,2.39825011399637,"2","1","2","1",538,50,200,15,"1",0,7,15,27,82,8,7,9,9,9,9,"0","0",1.01,0.350133333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","1","0","172.41824","1331758.48576",525.199999999999
"598","1","0","0","1","2012","1","0",1,"1",1,"75018",48.8915712263958,2.33161374851299,"2","1","1","1",151,55,0,0,"1",0,2,1125,3,100,10,10,10,10,9,10,"0","0",0.07,0.0242666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","0","1","1","0","1","0","48.39248","359072.2016",40.0400000000001
"599","1","1","0","1","2013","0","0",1,"1",1,"75018",48.8837035780261,2.33618255669787,"4","1","2","3",764,150,500,60,"1",0,6,30,5,92,10,10,9,10,9,9,"0","0",0.1,0.0346666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","244.84672","1816762.6624",156
"600","1","1","1","1","2013","0","0",1,"1",1,"75011",48.8651099805708,2.38291672464785,"4","1","1","2",377,130,200,0,"1",0,3,10,66,94,10,10,10,10,9,9,"0","0",1.16,0.402133333333333,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","120.82096","986019.85456",1568.32
"601","1","1","1","1","2013","0","0",1,"1",1,"75018",48.8855665879993,2.3367372656003,"4","1","1","2",431,149,350,0,"1",0,3,1125,9,93,10,10,10,9,10,9,"0","0",0.21,0.0728,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","0","0","1","1","0","1","1","138.12688","1024901.4496",325.416
"602","1","0","0","1","2013","1","0",1,"1",1,"75007",48.8489048875891,2.32147145750695,"6","1","2","3",861,149,700,0,"4",9,6,60,12,98,9,9,10,10,9,9,"0","0",0.19,0.0658666666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","275.93328","3358383.95088",294.424
"603","1","1","1","1","2013","1","1",2,"1",1,"75011",48.8597797314524,2.37275819964632,"2","1","1","1",269,75,200,30,"1",0,5,90,163,92,9,9,10,10,10,9,"0","0",2.41,0.835466666666667,"1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","0","86.20912","703552.62832",1879.8
"604","1","0","0","1","2013","1","0",9,"1",1,"75011",48.8608684490364,2.36831806549241,"4","1","1","2",344,130,0,30,"1",0,2,1125,37,97,10,10,10,10,10,10,"0","0",0.73,0.253066666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","0","1","1","0","1","1","110.24512","899710.42432",986.960000000001
"605","1","1","1","1","2013","1","0",1,"1",1,"75018",48.8869985612284,2.35438388256787,"2","1","1","1",301,48,250,15,"1",0,15,31,67,91,9,9,10,10,8,9,"0","0",1,0.346666666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","0","0","1","0","1","1","0","1","1","96.46448","715766.4416",499.200000000001
"606","1","1","1","1","2013","1","0",1,"1",1,"75005",48.8484868540422,2.35005541487539,"5","1.5","2","5",797,169,500,80,"4",25,5,15,8,93,9,8,10,9,10,9,"1","0",0.12,0.0416,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","1","1","255.42256","2765715.47968",210.912
